PC8,PC8
PC9,PC9
PC10,PC10
PC11,PC11
PC12,PC12
PD2,PD2
PA9,PA9
PA10,PA10
PA2,PA2
PA3,PA3
PD8,PD8
PD9,PD9
PB8,PB8
PB9,PB9
PB10,PB10
PB11,PB11
PD12,PD12
PD13,PD13
PA4,PA4
PB3,PB3
PB4,PB4
PD6,PD6
PE11,PE11
PE12,PE12
PE13,PE13
PE14,PE14
PB12,PB12
PB13,PB13
PC0,PC0
PE7,PE7
PE8,PE8
PE9,PE9
PC13,PC13
P0,PB15
P1,PB14
P2,PB13
P3,PB12
P4,PB10
P5,PB11
P6,PA5
P7,PD12
P8,PD13
P9,PD14
P10,PD15
P11,PA13
P12,PA14
P13,-PA0
P14,-PA1
P15,-PA2
P16,-PA3
LED_RED,-PE7
LED_GREEN,-PE8
LED_IR,PE9
LED_BLUE,-PC13
LED_WHITE,-PC13
USB_VBUS,PA9
USB_ID,PA10
USB_DM,PA11
USB_DP,PA12
PD0,PD0
